date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-09-2021,88.92,,,,,,,,107,,,actual
01-16-2021,89.26,,,,,,,,111,,,actual
01-23-2021,88.17,,,,,,,,98,,,actual
01-30-2021,87.34,65,63,68,86.84,87.84,65 [63 - 68],87.34% [86.84% - 87.84%],88,82,94,projected
02-06-2021,86.17,57,54,61,85.34,87.59,57 [54 - 61],86.17% [85.34% - 87.59%],74,64,91,projected
02-13-2021,85.25,49,46,53,84.0,87.51,49 [46 - 53],85.25% [84.0% - 87.51%],63,48,90,projected
02-20-2021,84.67,41,38,46,83.25,86.67,41 [38 - 46],84.67% [83.25% - 86.67%],56,39,80,projected
02-27-2021,84.09,35,33,40,82.75,86.84,35 [33 - 40],84.09% [82.75% - 86.84%],49,33,82,projected
03-06-2021,83.25,27,24,32,82.17,86.17,27 [24 - 32],83.25% [82.17% - 86.17%],39,26,74,projected
03-13-2021,82.67,21,18,26,81.17,85.25,21 [18 - 26],82.67% [81.17% - 85.25%],32,14,63,projected
