date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-02-2021,92.21,,,,,,,,504,,,actual
01-09-2021,95.16,,,,,,,,626,,,actual
01-16-2021,95.94,,,,,,,,658,,,actual
01-23-2021,95.79,576,563,588,94.68,97.32,576 [563 - 588],95.79% [94.68% - 97.32%],652,606,715,projected
01-30-2021,97.36,627,605,656,94.07,101.34,627 [605 - 656],97.36% [94.07% - 101.34%],717,581,881,projected
02-06-2021,98.14,659,625,703,92.67,105.04,659 [625 - 703],98.14% [92.67% - 105.04%],749,523,1034,projected
02-13-2021,98.79,681,639,741,91.43,108.26,681 [639 - 741],98.79% [91.43% - 108.26%],776,472,1167,projected
02-20-2021,98.79,635,591,704,90.95,109.09,635 [591 - 704],98.79% [90.95% - 109.09%],776,452,1201,projected
02-27-2021,97.46,548,503,622,89.08,110.35,548 [503 - 622],97.46% [89.08% - 110.35%],721,375,1253,projected
03-06-2021,94.99,444,404,518,86.98,108.99,444 [404 - 518],94.99% [86.98% - 108.99%],619,288,1197,projected
