date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-09-2021,92.73,,,,,,,,426,,,actual
01-16-2021,93.8,,,,,,,,462,,,actual
01-23-2021,93.77,,,,,,,,461,,,actual
01-30-2021,89.71,269,263,277,89.26,89.95,269 [263 - 277],89.71% [89.26% - 89.95%],325,310,333,projected
02-06-2021,89.35,275,264,286,87.38,91.44,275 [264 - 286],89.35% [87.38% - 91.44%],313,247,383,projected
02-13-2021,89.44,268,255,286,86.96,92.13,268 [255 - 286],89.44% [86.96% - 92.13%],316,233,406,projected
02-20-2021,89.14,255,238,281,86.3,92.97,255 [238 - 281],89.14% [86.3% - 92.97%],306,211,434,projected
02-27-2021,88.6,226,208,253,84.99,94.1,226 [208 - 253],88.6% [84.99% - 94.1%],288,167,472,projected
03-06-2021,87.59,188,172,213,83.67,93.74,188 [172 - 213],87.59% [83.67% - 93.74%],254,123,460,projected
03-13-2021,86.27,135,123,161,82.78,92.25,135 [123 - 161],86.27% [82.78% - 92.25%],210,93,410,projected
