date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-02-2021,97.36,,,,,,,,610,,,actual
01-09-2021,98.02,,,,,,,,633,,,actual
01-16-2021,98.08,,,,,,,,635,,,actual
01-23-2021,110.97,960,942,985,108.64,114.16,960 [942 - 985],110.97% [108.64% - 114.16%],1088,1006,1200,projected
01-30-2021,113.53,1034,996,1081,107.36,121.67,1034 [996 - 1081],113.53% [107.36% - 121.67%],1178,961,1464,projected
02-06-2021,114.96,1079,1030,1151,105.08,128.62,1079 [1030 - 1151],114.96% [105.08% - 128.62%],1228,881,1708,projected
02-13-2021,116.75,1134,1070,1233,103.88,136.31,1134 [1070 - 1233],116.75% [103.88% - 136.31%],1291,839,1978,projected
02-20-2021,118.71,1194,1117,1324,102.72,144.73,1194 [1117 - 1324],118.71% [102.72% - 144.73%],1360,798,2274,projected
02-27-2021,120.17,1238,1149,1397,101.55,153.24,1238 [1149 - 1397],120.17% [101.55% - 153.24%],1411,757,2573,projected
03-06-2021,121.73,1286,1188,1473,100.5,161.13,1286 [1188 - 1473],121.73% [100.5% - 161.13%],1466,720,2850,projected
