HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,82,1286,1284,1286,01-22-2020
2,AL- DOTHAN,80,0,0,0,01-22-2020
5,AL- HUNTSVILLE,81,179,178,179,01-22-2020
6,AL- MOBILE,81,392,392,392,01-22-2020
7,AL- MONTGOMERY,81,169,168,169,01-22-2020
9,AL- TUSCALOOSA,81,119,119,119,01-22-2020
11,AZ- MESA,85,778,778,778,01-22-2020
12,AZ- PHOENIX,83,1800,1796,1800,01-22-2020
14,AZ- SUN CITY,82,130,130,130,01-22-2020
15,AZ- TUCSON,82,351,351,351,01-22-2020
16,AR- FORT SMITH,80,0,0,0,01-22-2020
18,AR- JONESBORO,80,0,0,0,01-22-2020
19,AR- LITTLE ROCK,80,397,397,397,01-22-2020
21,AR- SPRINGDALE,80,49,49,49,01-22-2020
22,AR- TEXARKANA,80,0,0,0,01-22-2020
23,CA- ORANGE CO.,83,1969,1966,1969,01-22-2020
25,CA- BAKERSFIELD,81,324,324,324,01-22-2020
31,CA- CHICO,81,77,77,77,01-22-2020
33,CA- CONTRA COSTA CO.,91,1543,1541,1543,01-22-2020
43,CA- FRESNO,82,350,350,350,01-22-2020
56,CA- LOS ANGELES,83,5771,5763,5771,01-22-2020
58,CA- MODESTO,86,756,754,756,01-22-2020
62,CA- NAPA,85,238,238,238,01-22-2020
65,CA- ALAMEDA CO.,90,2354,2351,2354,01-22-2020
69,CA- PALM SPR/RANCHO MIR.,82,179,179,179,01-22-2020
73,CA- REDDING,82,168,168,168,01-22-2020
77,CA- SACRAMENTO,86,2259,2258,2260,01-22-2020
78,CA- SALINAS,87,414,413,415,01-22-2020
79,CA- SAN BERNARDINO,84,1712,1709,1712,01-22-2020
80,CA- SAN DIEGO,85,2484,2481,2484,01-22-2020
81,CA- SAN FRANCISCO,85,2068,2067,2068,01-22-2020
82,CA- SAN JOSE,93,2705,2703,2706,01-22-2020
83,CA- SAN LUIS OBISPO,85,161,161,161,01-22-2020
85,CA- SAN MATEO CO.,87,1299,1298,1299,01-22-2020
86,CA- SANTA BARBARA,83,231,231,231,01-22-2020
87,CA- SANTA CRUZ,94,364,364,364,01-22-2020
89,CA- SANTA ROSA,84,574,574,578,01-22-2020
91,CA- STOCKTON,88,651,651,651,01-22-2020
96,CA- VENTURA,84,501,500,501,01-22-2020
101,CO- BOULDER,87,238,238,238,01-22-2020
102,CO- COLORADO SPRINGS,85,392,392,392,01-22-2020
103,CO- DENVER,86,2241,2237,2241,01-22-2020
104,CO- FORT COLLINS,84,189,189,189,01-22-2020
105,CO- GRAND JUNCTION,87,401,401,401,01-22-2020
106,CO- GREELEY,83,217,217,217,01-22-2020
107,CO- PUEBLO,80,35,35,35,01-22-2020
110,CT- HARTFORD,86,1466,1466,1466,01-22-2020
