date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,8,7,8
04-14-2020,81,10,9,10
04-15-2020,89,60,57,63
04-16-2020,86,42,39,44
04-17-2020,97,112,106,117
04-18-2020,91,72,68,75
04-19-2020,89,60,57,63
04-20-2020,104,154,146,161
04-21-2020,87,48,45,50
04-22-2020,96,104,98,109
04-23-2020,106,168,159,176
04-24-2020,126,300,285,315
04-25-2020,105,160,152,168
04-26-2020,117,238,226,249
04-13-2020,81,12,11,12
04-14-2020,86,42,39,44
04-15-2020,83,24,22,25
04-16-2020,81,10,9,10
04-17-2020,98,120,114,126
04-18-2020,97,112,106,117
04-19-2020,105,160,152,168
04-20-2020,96,108,102,113
04-21-2020,101,140,133,147
04-22-2020,104,154,146,161
04-23-2020,83,24,22,25
04-24-2020,84,26,24,27
04-25-2020,123,280,266,294
04-26-2020,98,120,114,126
