date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,83,72,68,75
04-14-2020,81,30,28,31
04-15-2020,83,72,68,75
04-16-2020,85,112,106,117
04-17-2020,82,48,45,50
04-18-2020,88,180,171,189
04-19-2020,83,80,76,84
04-20-2020,89,198,188,207
04-21-2020,83,72,68,75
04-22-2020,92,260,247,273
04-23-2020,84,84,79,88
04-24-2020,84,90,85,94
04-25-2020,86,128,121,134
04-26-2020,95,306,290,321
04-13-2020,80,12,11,12
04-14-2020,82,48,45,50
04-15-2020,82,56,53,58
04-16-2020,80,20,19,21
04-17-2020,82,48,45,50
04-18-2020,83,70,66,73
04-19-2020,82,48,45,50
04-20-2020,81,36,34,37
04-21-2020,87,160,152,168
04-22-2020,83,66,62,69
04-23-2020,88,168,159,176
04-24-2020,82,52,49,54
04-25-2020,81,28,26,29
04-26-2020,82,60,57,63
