date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,85,40,38,42
04-14-2020,84,30,28,31
04-15-2020,94,108,102,113
04-16-2020,93,98,93,102
04-17-2020,82,16,15,16
04-18-2020,102,162,153,170
04-19-2020,88,60,57,63
04-20-2020,104,176,167,184
04-21-2020,83,24,22,25
04-22-2020,112,234,222,245
04-23-2020,118,280,266,294
04-24-2020,96,120,114,126
04-25-2020,110,224,212,235
04-26-2020,117,272,258,285
04-13-2020,84,36,34,37
04-14-2020,88,60,57,63
04-15-2020,91,80,76,84
04-16-2020,86,50,47,52
04-17-2020,93,96,91,100
04-18-2020,95,112,106,117
04-19-2020,91,80,76,84
04-20-2020,97,126,119,132
04-21-2020,85,40,38,42
04-22-2020,83,22,20,23
04-23-2020,93,96,91,100
04-24-2020,97,130,123,136
04-25-2020,99,140,133,147
04-26-2020,108,210,199,220
