date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,86,72,68,75
04-14-2020,84,50,47,52
04-15-2020,87,84,79,88
04-16-2020,92,140,133,147
04-17-2020,92,144,136,151
04-18-2020,84,54,51,56
04-19-2020,81,20,19,21
04-20-2020,99,220,209,231
04-21-2020,88,96,91,100
04-22-2020,96,182,172,191
04-23-2020,97,196,186,205
04-24-2020,96,180,171,189
04-25-2020,85,64,60,67
04-26-2020,95,170,161,178
04-13-2020,81,12,11,12
04-14-2020,81,18,17,18
04-15-2020,83,40,38,42
04-16-2020,81,20,19,21
04-17-2020,81,12,11,12
04-18-2020,92,140,133,147
04-19-2020,94,160,152,168
04-20-2020,83,36,34,37
04-21-2020,81,20,19,21
04-22-2020,95,176,167,184
04-23-2020,97,192,182,201
04-24-2020,98,208,197,218
04-25-2020,105,280,266,294
04-26-2020,106,300,285,315
