date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,24,22,25
04-14-2020,85,100,95,105
04-15-2020,82,36,34,37
04-16-2020,80,14,13,14
04-17-2020,89,160,152,168
04-18-2020,84,72,68,75
04-19-2020,89,160,152,168
04-20-2020,92,220,209,231
04-21-2020,92,216,205,226
04-22-2020,83,52,49,54
04-23-2020,83,56,53,58
04-24-2020,81,30,28,31
04-25-2020,91,192,182,201
04-26-2020,89,170,161,178
04-13-2020,81,28,26,29
04-14-2020,83,60,57,63
04-15-2020,84,72,68,75
04-16-2020,82,40,38,42
04-17-2020,80,12,11,12
04-18-2020,80,14,13,14
04-19-2020,89,160,152,168
04-20-2020,83,54,51,56
04-21-2020,82,40,38,42
04-22-2020,92,220,209,231
04-23-2020,88,144,136,151
04-24-2020,86,104,98,109
04-25-2020,89,168,159,176
04-26-2020,95,270,256,283
