date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,32,30,33
04-14-2020,86,100,95,105
04-15-2020,85,84,79,88
04-16-2020,82,42,39,44
04-17-2020,83,64,60,67
04-18-2020,82,36,34,37
04-19-2020,91,180,171,189
04-20-2020,88,132,125,138
04-21-2020,90,168,159,176
04-22-2020,94,234,222,245
04-23-2020,93,224,212,235
04-24-2020,87,120,114,126
04-25-2020,87,128,121,134
04-26-2020,94,238,226,249
04-13-2020,81,20,19,21
04-14-2020,81,18,17,18
04-15-2020,83,64,60,67
04-16-2020,80,10,9,10
04-17-2020,84,72,68,75
04-18-2020,80,14,13,14
04-19-2020,86,112,106,117
04-20-2020,82,36,34,37
04-21-2020,89,160,152,168
04-22-2020,84,66,62,69
04-23-2020,82,48,45,50
04-24-2020,94,234,222,245
04-25-2020,97,280,266,294
04-26-2020,87,120,114,126
