date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,83,56,53,58
04-14-2020,80,10,9,10
04-15-2020,84,84,79,88
04-16-2020,87,140,133,147
04-17-2020,83,64,60,67
04-18-2020,86,126,119,132
04-19-2020,89,180,171,189
04-20-2020,90,198,188,207
04-21-2020,93,240,228,252
04-22-2020,81,26,24,27
04-23-2020,81,28,26,29
04-24-2020,81,30,28,31
04-25-2020,86,128,121,134
04-26-2020,81,34,32,35
04-13-2020,80,8,7,8
04-14-2020,81,24,22,25
04-15-2020,82,48,45,50
04-16-2020,85,100,95,105
04-17-2020,83,60,57,63
04-18-2020,80,14,13,14
04-19-2020,88,160,152,168
04-20-2020,80,18,17,18
04-21-2020,89,180,171,189
04-22-2020,82,44,41,46
04-23-2020,86,120,114,126
04-24-2020,89,182,172,191
04-25-2020,95,280,266,294
04-26-2020,93,240,228,252
