date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,85,56,53,58
04-14-2020,86,70,66,73
04-15-2020,85,60,57,63
04-16-2020,90,112,106,117
04-17-2020,90,112,106,117
04-18-2020,87,72,68,75
04-19-2020,85,60,57,63
04-20-2020,92,132,125,138
04-21-2020,98,192,182,201
04-22-2020,92,130,123,136
04-23-2020,107,280,266,294
04-24-2020,85,60,57,63
04-25-2020,111,320,304,336
04-26-2020,96,170,161,178
04-13-2020,81,16,15,16
04-14-2020,81,12,11,12
04-15-2020,81,16,15,16
04-16-2020,87,80,76,84
04-17-2020,84,48,45,50
04-18-2020,88,84,79,88
04-19-2020,84,48,45,50
04-20-2020,87,72,68,75
04-21-2020,81,20,19,21
04-22-2020,101,220,209,231
04-23-2020,103,240,228,252
04-24-2020,100,208,197,218
04-25-2020,90,112,106,117
04-26-2020,88,90,85,94
