date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,83,24,22,25
04-14-2020,81,10,9,10
04-15-2020,83,24,22,25
04-16-2020,94,98,93,102
04-17-2020,89,64,60,67
04-18-2020,87,54,51,56
04-19-2020,97,120,114,126
04-20-2020,89,66,62,69
04-21-2020,104,168,159,176
04-22-2020,117,260,247,273
04-23-2020,84,28,26,29
04-24-2020,97,120,114,126
04-25-2020,98,128,121,134
04-26-2020,124,306,290,321
04-13-2020,81,12,11,12
04-14-2020,85,36,34,37
04-15-2020,89,64,60,67
04-16-2020,81,10,9,10
04-17-2020,90,72,68,75
04-18-2020,94,98,93,102
04-19-2020,93,96,91,100
04-20-2020,100,144,136,151
04-21-2020,100,140,133,147
04-22-2020,92,88,83,92
04-23-2020,97,120,114,126
04-24-2020,110,208,197,218
04-25-2020,92,84,79,88
04-26-2020,101,150,142,157
