date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,72,68,75
04-14-2020,81,50,47,52
04-15-2020,81,60,57,63
04-16-2020,80,28,26,29
04-17-2020,81,48,45,50
04-18-2020,83,126,119,132
04-19-2020,82,120,114,126
04-20-2020,80,22,20,23
04-21-2020,82,96,91,100
04-22-2020,81,78,74,81
04-23-2020,85,224,212,235
04-24-2020,85,210,199,220
04-25-2020,82,96,91,100
04-26-2020,85,238,226,249
04-13-2020,80,32,30,33
04-14-2020,80,12,11,12
04-15-2020,81,80,76,84
04-16-2020,80,40,38,42
04-17-2020,80,36,34,37
04-18-2020,83,140,133,147
04-19-2020,83,144,136,151
04-20-2020,84,180,171,189
04-21-2020,84,180,171,189
04-22-2020,83,132,125,138
04-23-2020,81,72,68,75
04-24-2020,83,156,148,163
04-25-2020,84,168,159,176
04-26-2020,87,300,285,315
