date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,16,15,16
04-14-2020,81,20,19,21
04-15-2020,88,96,91,100
04-16-2020,86,70,66,73
04-17-2020,86,80,76,84
04-18-2020,81,18,17,18
04-19-2020,97,200,190,210
04-20-2020,97,198,188,207
04-21-2020,82,24,22,25
04-22-2020,102,260,247,273
04-23-2020,82,28,26,29
04-24-2020,100,240,228,252
04-25-2020,107,320,304,336
04-26-2020,100,238,226,249
04-13-2020,81,20,19,21
04-14-2020,84,54,51,56
04-15-2020,86,80,76,84
04-16-2020,87,90,85,94
04-17-2020,86,72,68,75
04-18-2020,81,14,13,14
04-19-2020,91,128,121,134
04-20-2020,86,72,68,75
04-21-2020,95,180,171,189
04-22-2020,91,132,125,138
04-23-2020,90,120,114,126
04-24-2020,91,130,123,136
04-25-2020,99,224,212,235
04-26-2020,105,300,285,315
