date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,85,64,60,67
04-14-2020,81,20,19,21
04-15-2020,86,72,68,75
04-16-2020,81,14,13,14
04-17-2020,82,32,30,33
04-18-2020,81,18,17,18
04-19-2020,89,100,95,105
04-20-2020,85,66,62,69
04-21-2020,99,216,205,226
04-22-2020,94,156,148,163
04-23-2020,92,140,133,147
04-24-2020,90,120,114,126
04-25-2020,85,64,60,67
04-26-2020,83,34,32,35
04-13-2020,82,24,22,25
04-14-2020,83,36,34,37
04-15-2020,87,80,76,84
04-16-2020,85,60,57,63
04-17-2020,88,96,91,100
04-18-2020,92,140,133,147
04-19-2020,84,48,45,50
04-20-2020,93,144,136,151
04-21-2020,89,100,95,105
04-22-2020,99,220,209,231
04-23-2020,95,168,159,176
04-24-2020,98,208,197,218
04-25-2020,95,168,159,176
04-26-2020,82,30,28,31
