date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,82,64,60,67
04-14-2020,82,80,76,84
04-15-2020,83,108,102,113
04-16-2020,82,56,53,58
04-17-2020,82,64,60,67
04-18-2020,82,72,68,75
04-19-2020,82,60,57,63
04-20-2020,84,132,125,138
04-21-2020,81,48,45,50
04-22-2020,83,104,98,109
04-23-2020,87,196,186,205
04-24-2020,88,240,228,252
04-25-2020,81,32,30,33
04-26-2020,88,238,226,249
04-13-2020,80,8,7,8
04-14-2020,80,18,17,18
04-15-2020,81,32,30,33
04-16-2020,80,20,19,21
04-17-2020,83,84,79,88
04-18-2020,81,42,39,44
04-19-2020,80,16,15,16
04-20-2020,85,162,153,170
04-21-2020,81,40,38,42
04-22-2020,85,154,146,161
04-23-2020,85,144,136,151
04-24-2020,89,260,247,273
04-25-2020,90,280,266,294
04-26-2020,87,210,199,220
