date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,32,30,33
04-14-2020,82,90,85,94
04-15-2020,81,60,57,63
04-16-2020,81,56,53,58
04-17-2020,81,48,45,50
04-18-2020,80,36,34,37
04-19-2020,84,160,152,168
04-20-2020,85,198,188,207
04-21-2020,85,216,205,226
04-22-2020,86,234,222,245
04-23-2020,87,280,266,294
04-24-2020,86,240,228,252
04-25-2020,85,224,212,235
04-26-2020,83,136,129,142
04-13-2020,80,28,26,29
04-14-2020,80,36,34,37
04-15-2020,80,16,15,16
04-16-2020,80,20,19,21
04-17-2020,80,24,22,25
04-18-2020,82,112,106,117
04-19-2020,82,80,76,84
04-20-2020,83,126,119,132
04-21-2020,80,20,19,21
04-22-2020,85,198,188,207
04-23-2020,83,144,136,151
04-24-2020,80,26,24,27
04-25-2020,86,252,239,264
04-26-2020,85,210,199,220
