date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,91,72,68,75
04-14-2020,83,20,19,21
04-15-2020,85,36,34,37
04-16-2020,98,112,106,117
04-17-2020,87,48,45,50
04-18-2020,82,18,17,18
04-19-2020,109,180,171,189
04-20-2020,83,22,20,23
04-21-2020,115,216,205,226
04-22-2020,122,260,247,273
04-23-2020,120,252,239,264
04-24-2020,94,90,85,94
04-25-2020,85,32,30,33
04-26-2020,96,102,96,107
04-13-2020,82,16,15,16
04-14-2020,88,54,51,56
04-15-2020,86,40,38,42
04-16-2020,88,50,47,52
04-17-2020,87,48,45,50
04-18-2020,82,14,13,14
04-19-2020,95,96,91,100
04-20-2020,91,72,68,75
04-21-2020,112,200,190,210
04-22-2020,112,198,188,207
04-23-2020,99,120,114,126
04-24-2020,109,182,172,191
04-25-2020,98,112,106,117
04-26-2020,89,60,57,63
