date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,16,15,16
04-14-2020,80,70,66,73
04-15-2020,81,120,114,126
04-16-2020,80,84,79,88
04-17-2020,80,96,91,100
04-18-2020,80,54,51,56
04-19-2020,80,60,57,63
04-20-2020,80,22,20,23
04-21-2020,81,216,205,226
04-22-2020,80,104,98,109
04-23-2020,81,168,159,176
04-24-2020,80,60,57,63
04-25-2020,81,192,182,201
04-26-2020,82,306,290,321
04-13-2020,80,16,15,16
04-14-2020,80,54,51,56
04-15-2020,80,80,76,84
04-16-2020,80,90,85,94
04-17-2020,80,108,102,113
04-18-2020,80,28,26,29
04-19-2020,81,160,152,168
04-20-2020,80,108,102,113
04-21-2020,81,140,133,147
04-22-2020,81,176,167,184
04-23-2020,81,144,136,151
04-24-2020,82,260,247,273
04-25-2020,82,280,266,294
04-26-2020,80,90,85,94
