date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,85,64,60,67
04-14-2020,88,100,95,105
04-15-2020,82,24,22,25
04-16-2020,83,42,39,44
04-17-2020,93,160,152,168
04-18-2020,95,180,171,189
04-19-2020,81,20,19,21
04-20-2020,98,220,209,231
04-21-2020,92,144,136,151
04-22-2020,82,26,24,27
04-23-2020,82,28,26,29
04-24-2020,87,90,85,94
04-25-2020,96,192,182,201
04-26-2020,108,340,323,357
04-13-2020,82,24,22,25
04-14-2020,82,30,28,31
04-15-2020,82,24,22,25
04-16-2020,87,90,85,94
04-17-2020,83,36,34,37
04-18-2020,83,42,39,44
04-19-2020,93,160,152,168
04-20-2020,93,162,153,170
04-21-2020,86,80,76,84
04-22-2020,96,198,188,207
04-23-2020,98,216,205,226
04-24-2020,97,208,197,218
04-25-2020,87,84,79,88
04-26-2020,100,240,228,252
