date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,91,72,68,75
04-14-2020,86,40,38,42
04-15-2020,83,24,22,25
04-16-2020,84,28,26,29
04-17-2020,105,160,152,168
04-18-2020,99,126,119,132
04-19-2020,108,180,171,189
04-20-2020,110,198,188,207
04-21-2020,95,96,91,100
04-22-2020,92,78,74,81
04-23-2020,84,28,26,29
04-24-2020,89,60,57,63
04-25-2020,105,160,152,168
04-26-2020,111,204,193,214
04-13-2020,85,36,34,37
04-14-2020,88,54,51,56
04-15-2020,81,8,7,8
04-16-2020,89,60,57,63
04-17-2020,85,36,34,37
04-18-2020,82,14,13,14
04-19-2020,92,80,76,84
04-20-2020,105,162,153,170
04-21-2020,86,40,38,42
04-22-2020,97,110,104,115
04-23-2020,102,144,136,151
04-24-2020,92,78,74,81
04-25-2020,110,196,186,205
04-26-2020,94,90,85,94
