date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,86,72,68,75
04-14-2020,80,10,9,10
04-15-2020,87,84,79,88
04-16-2020,81,14,13,14
04-17-2020,93,144,136,151
04-18-2020,84,54,51,56
04-19-2020,98,200,190,210
04-20-2020,88,88,83,92
04-21-2020,84,48,45,50
04-22-2020,84,52,49,54
04-23-2020,97,196,186,205
04-24-2020,107,300,285,315
04-25-2020,82,32,30,33
04-26-2020,104,272,258,285
04-13-2020,82,32,30,33
04-14-2020,84,54,51,56
04-15-2020,82,24,22,25
04-16-2020,89,100,95,105
04-17-2020,89,108,102,113
04-18-2020,90,112,106,117
04-19-2020,88,96,91,100
04-20-2020,96,180,171,189
04-21-2020,81,20,19,21
04-22-2020,100,220,209,231
04-23-2020,91,120,114,126
04-24-2020,87,78,74,81
04-25-2020,90,112,106,117
04-26-2020,91,120,114,126
