date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,83,40,38,42
04-14-2020,82,30,28,31
04-15-2020,84,48,45,50
04-16-2020,85,56,53,58
04-17-2020,90,112,106,117
04-18-2020,96,180,171,189
04-19-2020,85,60,57,63
04-20-2020,96,176,167,184
04-21-2020,91,120,114,126
04-22-2020,89,104,98,109
04-23-2020,105,280,266,294
04-24-2020,102,240,228,252
04-25-2020,106,288,273,302
04-26-2020,92,136,129,142
04-13-2020,82,24,22,25
04-14-2020,83,42,39,44
04-15-2020,83,40,38,42
04-16-2020,89,100,95,105
04-17-2020,83,36,34,37
04-18-2020,86,70,66,73
04-19-2020,91,128,121,134
04-20-2020,90,108,102,113
04-21-2020,87,80,76,84
04-22-2020,84,44,41,46
04-23-2020,100,216,205,226
04-24-2020,82,26,24,27
04-25-2020,100,224,212,235
04-26-2020,91,120,114,126
