date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,80,76,84
04-14-2020,80,90,85,94
04-15-2020,81,108,102,113
04-16-2020,80,14,13,14
04-17-2020,80,48,45,50
04-18-2020,80,72,68,75
04-19-2020,81,120,114,126
04-20-2020,80,66,62,69
04-21-2020,82,216,205,226
04-22-2020,80,78,74,81
04-23-2020,80,28,26,29
04-24-2020,80,30,28,31
04-25-2020,82,288,273,302
04-26-2020,80,34,32,35
04-13-2020,80,4,3,4
04-14-2020,80,60,57,63
04-15-2020,80,56,53,58
04-16-2020,80,50,47,52
04-17-2020,80,96,91,100
04-18-2020,81,112,106,117
04-19-2020,81,112,106,117
04-20-2020,80,18,17,18
04-21-2020,80,40,38,42
04-22-2020,82,220,209,231
04-23-2020,81,120,114,126
04-24-2020,82,208,197,218
04-25-2020,81,112,106,117
04-26-2020,82,210,199,220
