date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,84,24,22,25
04-14-2020,94,80,76,84
04-15-2020,97,96,91,100
04-16-2020,100,112,106,117
04-17-2020,91,64,60,67
04-18-2020,83,18,17,18
04-19-2020,94,80,76,84
04-20-2020,111,176,167,184
04-21-2020,97,96,91,100
04-22-2020,117,208,197,218
04-23-2020,130,280,266,294
04-24-2020,96,90,85,94
04-25-2020,120,224,212,235
04-26-2020,116,204,193,214
04-13-2020,81,8,7,8
04-14-2020,89,54,51,56
04-15-2020,91,64,60,67
04-16-2020,96,90,85,94
04-17-2020,88,48,45,50
04-18-2020,85,28,26,29
04-19-2020,97,96,91,100
04-20-2020,92,72,68,75
04-21-2020,115,200,190,210
04-22-2020,99,110,104,115
04-23-2020,84,24,22,25
04-24-2020,126,260,247,273
04-25-2020,130,280,266,294
04-26-2020,117,210,199,220
