date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,84,64,60,67
04-14-2020,80,10,9,10
04-15-2020,82,36,34,37
04-16-2020,87,112,106,117
04-17-2020,90,160,152,168
04-18-2020,82,36,34,37
04-19-2020,93,200,190,210
04-20-2020,94,220,209,231
04-21-2020,86,96,91,100
04-22-2020,86,104,98,109
04-23-2020,87,112,106,117
04-24-2020,85,90,85,94
04-25-2020,86,96,91,100
04-26-2020,100,306,290,321
04-13-2020,81,28,26,29
04-14-2020,82,42,39,44
04-15-2020,83,48,45,50
04-16-2020,85,80,76,84
04-17-2020,86,96,91,100
04-18-2020,81,28,26,29
04-19-2020,85,80,76,84
04-20-2020,84,72,68,75
04-21-2020,93,200,190,210
04-22-2020,84,66,62,69
04-23-2020,89,144,136,151
04-24-2020,91,182,172,191
04-25-2020,89,140,133,147
04-26-2020,93,210,199,220
