date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,40,38,42
04-14-2020,80,100,95,105
04-15-2020,80,36,34,37
04-16-2020,80,112,106,117
04-17-2020,80,112,106,117
04-18-2020,80,72,68,75
04-19-2020,80,60,57,63
04-20-2020,81,176,167,184
04-21-2020,80,48,45,50
04-22-2020,80,52,49,54
04-23-2020,80,84,79,88
04-24-2020,82,270,256,283
04-25-2020,81,192,182,201
04-26-2020,80,34,32,35
04-13-2020,80,20,19,21
04-14-2020,80,18,17,18
04-15-2020,80,32,30,33
04-16-2020,80,30,28,31
04-17-2020,80,48,45,50
04-18-2020,80,14,13,14
04-19-2020,80,80,76,84
04-20-2020,80,36,34,37
04-21-2020,80,20,19,21
04-22-2020,81,132,125,138
04-23-2020,81,120,114,126
04-24-2020,81,182,172,191
04-25-2020,80,28,26,29
04-26-2020,81,180,171,189
