date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,84,48,45,50
04-14-2020,84,50,47,52
04-15-2020,82,24,22,25
04-16-2020,86,70,66,73
04-17-2020,93,144,136,151
04-18-2020,86,72,68,75
04-19-2020,83,40,38,42
04-20-2020,88,88,83,92
04-21-2020,102,240,228,252
04-22-2020,101,234,222,245
04-23-2020,98,196,186,205
04-24-2020,82,30,28,31
04-25-2020,100,224,212,235
04-26-2020,95,170,161,178
04-13-2020,80,8,7,8
04-14-2020,81,12,11,12
04-15-2020,86,72,68,75
04-16-2020,81,20,19,21
04-17-2020,91,120,114,126
04-18-2020,85,56,53,58
04-19-2020,81,16,15,16
04-20-2020,91,126,119,132
04-21-2020,94,160,152,168
04-22-2020,98,198,188,207
04-23-2020,102,240,228,252
04-24-2020,99,208,197,218
04-25-2020,82,28,26,29
04-26-2020,108,300,285,315
