date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,16,15,16
04-14-2020,82,30,28,31
04-15-2020,85,72,68,75
04-16-2020,90,140,133,147
04-17-2020,82,32,30,33
04-18-2020,82,36,34,37
04-19-2020,92,160,152,168
04-20-2020,86,88,83,92
04-21-2020,85,72,68,75
04-22-2020,93,182,172,191
04-23-2020,98,252,239,264
04-24-2020,93,180,171,189
04-25-2020,104,320,304,336
04-26-2020,103,306,290,321
04-13-2020,80,4,3,4
04-14-2020,82,30,28,31
04-15-2020,82,32,30,33
04-16-2020,87,100,95,105
04-17-2020,86,84,79,88
04-18-2020,87,98,93,102
04-19-2020,84,64,60,67
04-20-2020,81,18,17,18
04-21-2020,95,200,190,210
04-22-2020,89,132,125,138
04-23-2020,83,48,45,50
04-24-2020,87,104,98,109
04-25-2020,86,84,79,88
04-26-2020,82,30,28,31
