date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,83,80,76,84
04-14-2020,80,20,19,21
04-15-2020,81,24,22,25
04-16-2020,86,140,133,147
04-17-2020,87,160,152,168
04-18-2020,86,144,136,151
04-19-2020,82,60,57,63
04-20-2020,84,110,104,115
04-21-2020,88,192,182,201
04-22-2020,90,234,222,245
04-23-2020,83,84,79,88
04-24-2020,90,240,228,252
04-25-2020,82,64,60,67
04-26-2020,86,136,129,142
04-13-2020,81,24,22,25
04-14-2020,81,30,28,31
04-15-2020,81,24,22,25
04-16-2020,84,100,95,105
04-17-2020,84,96,91,100
04-18-2020,85,112,106,117
04-19-2020,83,80,76,84
04-20-2020,84,108,102,113
04-21-2020,87,160,152,168
04-22-2020,87,176,167,184
04-23-2020,81,24,22,25
04-24-2020,83,78,74,81
04-25-2020,90,224,212,235
04-26-2020,82,60,57,63
