date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,40,38,42
04-14-2020,81,50,47,52
04-15-2020,80,12,11,12
04-16-2020,81,56,53,58
04-17-2020,81,80,76,84
04-18-2020,83,162,153,170
04-19-2020,82,120,114,126
04-20-2020,83,176,167,184
04-21-2020,83,144,136,151
04-22-2020,85,260,247,273
04-23-2020,83,168,159,176
04-24-2020,84,210,199,220
04-25-2020,85,256,243,268
04-26-2020,82,102,96,107
04-13-2020,80,4,3,4
04-14-2020,80,6,5,6
04-15-2020,80,32,30,33
04-16-2020,80,30,28,31
04-17-2020,80,12,11,12
04-18-2020,81,56,53,58
04-19-2020,81,64,60,67
04-20-2020,82,108,102,113
04-21-2020,82,140,133,147
04-22-2020,81,66,62,69
04-23-2020,83,144,136,151
04-24-2020,82,130,123,136
04-25-2020,80,28,26,29
04-26-2020,85,270,256,283
