date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,24,22,25
04-14-2020,82,50,47,52
04-15-2020,81,36,34,37
04-16-2020,86,140,133,147
04-17-2020,80,16,15,16
04-18-2020,82,54,51,56
04-19-2020,82,60,57,63
04-20-2020,87,154,146,161
04-21-2020,82,48,45,50
04-22-2020,85,104,98,109
04-23-2020,81,28,26,29
04-24-2020,94,300,285,315
04-25-2020,87,160,152,168
04-26-2020,81,34,32,35
04-13-2020,80,20,19,21
04-14-2020,81,24,22,25
04-15-2020,81,40,38,42
04-16-2020,82,60,57,63
04-17-2020,82,48,45,50
04-18-2020,80,14,13,14
04-19-2020,87,160,152,168
04-20-2020,81,36,34,37
04-21-2020,80,20,19,21
04-22-2020,88,176,167,184
04-23-2020,85,120,114,126
04-24-2020,83,78,74,81
04-25-2020,86,140,133,147
04-26-2020,84,90,85,94
