date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,8,7,8
04-14-2020,83,100,95,105
04-15-2020,82,60,57,63
04-16-2020,81,42,39,44
04-17-2020,83,96,91,100
04-18-2020,80,18,17,18
04-19-2020,83,100,95,105
04-20-2020,83,88,83,92
04-21-2020,80,24,22,25
04-22-2020,83,104,98,109
04-23-2020,87,196,186,205
04-24-2020,84,120,114,126
04-25-2020,82,64,60,67
04-26-2020,83,102,96,107
04-13-2020,80,8,7,8
04-14-2020,82,60,57,63
04-15-2020,82,56,53,58
04-16-2020,82,80,76,84
04-17-2020,81,48,45,50
04-18-2020,84,126,119,132
04-19-2020,85,160,152,168
04-20-2020,86,180,171,189
04-21-2020,82,60,57,63
04-22-2020,83,88,83,92
04-23-2020,88,240,228,252
04-24-2020,89,260,247,273
04-25-2020,84,112,106,117
04-26-2020,85,150,142,157
