date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,84,24,22,25
04-14-2020,83,20,19,21
04-15-2020,84,24,22,25
04-16-2020,100,112,106,117
04-17-2020,100,112,106,117
04-18-2020,100,108,102,113
04-19-2020,87,40,38,42
04-20-2020,84,22,20,23
04-21-2020,84,24,22,25
04-22-2020,104,130,123,136
04-23-2020,95,84,79,88
04-24-2020,113,180,171,189
04-25-2020,85,32,30,33
04-26-2020,111,170,161,178
04-13-2020,81,8,7,8
04-14-2020,86,36,34,37
04-15-2020,85,32,30,33
04-16-2020,81,10,9,10
04-17-2020,86,36,34,37
04-18-2020,95,84,79,88
04-19-2020,85,32,30,33
04-20-2020,96,90,85,94
04-21-2020,91,60,57,63
04-22-2020,116,198,188,207
04-23-2020,93,72,68,75
04-24-2020,89,52,49,54
04-25-2020,90,56,53,58
04-26-2020,96,90,85,94
