date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,83,40,38,42
04-14-2020,89,100,95,105
04-15-2020,88,84,79,88
04-16-2020,85,56,53,58
04-17-2020,90,112,106,117
04-18-2020,92,126,119,132
04-19-2020,99,200,190,210
04-20-2020,92,132,125,138
04-21-2020,84,48,45,50
04-22-2020,90,104,98,109
04-23-2020,88,84,79,88
04-24-2020,85,60,57,63
04-25-2020,98,192,182,201
04-26-2020,86,68,64,71
04-13-2020,82,24,22,25
04-14-2020,81,12,11,12
04-15-2020,81,16,15,16
04-16-2020,83,40,38,42
04-17-2020,83,36,34,37
04-18-2020,82,28,26,29
04-19-2020,93,144,136,151
04-20-2020,93,144,136,151
04-21-2020,85,60,57,63
04-22-2020,94,154,146,161
04-23-2020,93,144,136,151
04-24-2020,97,182,172,191
04-25-2020,85,56,53,58
04-26-2020,91,120,114,126
