date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,8,7,8
04-14-2020,84,60,57,63
04-15-2020,84,60,57,63
04-16-2020,86,84,79,88
04-17-2020,86,80,76,84
04-18-2020,82,36,34,37
04-19-2020,84,60,57,63
04-20-2020,92,154,146,161
04-21-2020,99,240,228,252
04-22-2020,82,26,24,27
04-23-2020,97,224,212,235
04-24-2020,87,90,85,94
04-25-2020,90,128,121,134
04-26-2020,82,34,32,35
04-13-2020,81,16,15,16
04-14-2020,80,12,11,12
04-15-2020,81,16,15,16
04-16-2020,83,40,38,42
04-17-2020,85,72,68,75
04-18-2020,85,70,66,73
04-19-2020,85,64,60,67
04-20-2020,81,18,17,18
04-21-2020,91,140,133,147
04-22-2020,90,132,125,138
04-23-2020,93,168,159,176
04-24-2020,84,52,49,54
04-25-2020,88,112,106,117
04-26-2020,82,30,28,31
