date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,82,48,45,50
04-14-2020,84,70,66,73
04-15-2020,83,60,57,63
04-16-2020,85,98,93,102
04-17-2020,80,16,15,16
04-18-2020,90,180,171,189
04-19-2020,83,60,57,63
04-20-2020,84,66,62,69
04-21-2020,93,216,205,226
04-22-2020,95,260,247,273
04-23-2020,95,252,239,264
04-24-2020,83,60,57,63
04-25-2020,83,64,60,67
04-26-2020,90,170,161,178
04-13-2020,80,8,7,8
04-14-2020,83,60,57,63
04-15-2020,84,72,68,75
04-16-2020,85,90,85,94
04-17-2020,87,120,114,126
04-18-2020,86,112,106,117
04-19-2020,83,64,60,67
04-20-2020,88,144,136,151
04-21-2020,82,40,38,42
04-22-2020,85,88,83,92
04-23-2020,85,96,91,100
04-24-2020,94,234,222,245
04-25-2020,86,112,106,117
04-26-2020,85,90,85,94
