date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,48,45,50
04-14-2020,80,20,19,21
04-15-2020,84,120,114,126
04-16-2020,81,28,26,29
04-17-2020,81,32,30,33
04-18-2020,83,90,85,94
04-19-2020,83,80,76,84
04-20-2020,84,110,104,115
04-21-2020,82,72,68,75
04-22-2020,84,104,98,109
04-23-2020,91,280,266,294
04-24-2020,89,240,228,252
04-25-2020,88,224,212,235
04-26-2020,85,136,129,142
04-13-2020,80,8,7,8
04-14-2020,80,6,5,6
04-15-2020,81,40,38,42
04-16-2020,81,50,47,52
04-17-2020,83,96,91,100
04-18-2020,84,126,119,132
04-19-2020,85,144,136,151
04-20-2020,82,54,51,56
04-21-2020,87,200,190,210
04-22-2020,85,132,125,138
04-23-2020,83,96,91,100
04-24-2020,81,26,24,27
04-25-2020,84,112,106,117
04-26-2020,82,60,57,63
