date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,48,45,50
04-14-2020,80,50,47,52
04-15-2020,81,120,114,126
04-16-2020,80,70,66,73
04-17-2020,80,32,30,33
04-18-2020,82,162,153,170
04-19-2020,80,40,38,42
04-20-2020,82,198,188,207
04-21-2020,80,24,22,25
04-22-2020,81,78,74,81
04-23-2020,82,168,159,176
04-24-2020,83,270,256,283
04-25-2020,82,160,152,168
04-26-2020,84,306,290,321
04-13-2020,80,16,15,16
04-14-2020,80,6,5,6
04-15-2020,81,80,76,84
04-16-2020,80,10,9,10
04-17-2020,80,72,68,75
04-18-2020,80,56,53,58
04-19-2020,81,80,76,84
04-20-2020,80,18,17,18
04-21-2020,80,60,57,63
04-22-2020,80,66,62,69
04-23-2020,82,216,205,226
04-24-2020,83,260,247,273
04-25-2020,81,112,106,117
04-26-2020,80,60,57,63
