date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,32,30,33
04-14-2020,81,80,76,84
04-15-2020,82,108,102,113
04-16-2020,81,56,53,58
04-17-2020,81,48,45,50
04-18-2020,84,180,171,189
04-19-2020,80,20,19,21
04-20-2020,85,220,209,231
04-21-2020,85,240,228,252
04-22-2020,84,182,172,191
04-23-2020,85,224,212,235
04-24-2020,81,60,57,63
04-25-2020,80,32,30,33
04-26-2020,87,306,290,321
04-13-2020,80,32,30,33
04-14-2020,80,12,11,12
04-15-2020,81,56,53,58
04-16-2020,80,20,19,21
04-17-2020,80,36,34,37
04-18-2020,83,140,133,147
04-19-2020,80,32,30,33
04-20-2020,80,36,34,37
04-21-2020,80,40,38,42
04-22-2020,84,176,167,184
04-23-2020,85,240,228,252
04-24-2020,81,78,74,81
04-25-2020,84,196,186,205
04-26-2020,80,30,28,31
