date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,85,56,53,58
04-14-2020,83,40,38,42
04-15-2020,84,48,45,50
04-16-2020,91,126,119,132
04-17-2020,93,144,136,151
04-18-2020,86,72,68,75
04-19-2020,85,60,57,63
04-20-2020,88,88,83,92
04-21-2020,82,24,22,25
04-22-2020,91,130,123,136
04-23-2020,82,28,26,29
04-24-2020,93,150,142,157
04-25-2020,97,192,182,201
04-26-2020,86,68,64,71
04-13-2020,80,4,3,4
04-14-2020,81,18,17,18
04-15-2020,82,24,22,25
04-16-2020,83,40,38,42
04-17-2020,87,84,79,88
04-18-2020,87,84,79,88
04-19-2020,94,160,152,168
04-20-2020,94,162,153,170
04-21-2020,92,140,133,147
04-22-2020,100,220,209,231
04-23-2020,95,168,159,176
04-24-2020,96,182,172,191
04-25-2020,82,28,26,29
04-26-2020,93,150,142,157
