date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,24,22,25
04-14-2020,80,10,9,10
04-15-2020,85,108,102,113
04-16-2020,84,84,79,88
04-17-2020,82,48,45,50
04-18-2020,83,72,68,75
04-19-2020,87,140,133,147
04-20-2020,85,110,104,115
04-21-2020,87,144,136,151
04-22-2020,85,104,98,109
04-23-2020,89,168,159,176
04-24-2020,96,300,285,315
04-25-2020,81,32,30,33
04-26-2020,83,68,64,71
04-13-2020,81,20,19,21
04-14-2020,80,12,11,12
04-15-2020,80,16,15,16
04-16-2020,81,20,19,21
04-17-2020,86,120,114,126
04-18-2020,85,98,93,102
04-19-2020,86,112,106,117
04-20-2020,84,90,85,94
04-21-2020,82,40,38,42
04-22-2020,85,110,104,115
04-23-2020,81,24,22,25
04-24-2020,92,234,222,245
04-25-2020,83,56,53,58
04-26-2020,84,90,85,94
