date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,56,53,58
04-14-2020,80,50,47,52
04-15-2020,80,120,114,126
04-16-2020,80,28,26,29
04-17-2020,80,32,30,33
04-18-2020,80,144,136,151
04-19-2020,80,120,114,126
04-20-2020,80,154,146,161
04-21-2020,81,168,159,176
04-22-2020,81,182,172,191
04-23-2020,80,140,133,147
04-24-2020,80,150,142,157
04-25-2020,81,256,243,268
04-26-2020,80,136,129,142
04-13-2020,80,4,3,4
04-14-2020,80,6,5,6
04-15-2020,80,24,22,25
04-16-2020,80,100,95,105
04-17-2020,80,24,22,25
04-18-2020,80,98,93,102
04-19-2020,80,48,45,50
04-20-2020,80,126,119,132
04-21-2020,80,120,114,126
04-22-2020,80,110,104,115
04-23-2020,81,192,182,201
04-24-2020,81,260,247,273
04-25-2020,81,196,186,205
04-26-2020,80,120,114,126
