date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,24,22,25
04-14-2020,81,60,57,63
04-15-2020,81,48,45,50
04-16-2020,81,56,53,58
04-17-2020,80,16,15,16
04-18-2020,80,18,17,18
04-19-2020,83,140,133,147
04-20-2020,84,176,167,184
04-21-2020,84,168,159,176
04-22-2020,84,156,148,163
04-23-2020,87,280,266,294
04-24-2020,85,210,199,220
04-25-2020,84,160,152,168
04-26-2020,88,306,290,321
04-13-2020,80,32,30,33
04-14-2020,81,42,39,44
04-15-2020,81,64,60,67
04-16-2020,80,30,28,31
04-17-2020,82,96,91,100
04-18-2020,83,140,133,147
04-19-2020,81,48,45,50
04-20-2020,83,126,119,132
04-21-2020,85,200,190,210
04-22-2020,84,176,167,184
04-23-2020,82,96,91,100
04-24-2020,82,78,74,81
04-25-2020,86,224,212,235
04-26-2020,87,270,256,283
