date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,48,45,50
04-14-2020,81,70,66,73
04-15-2020,82,84,79,88
04-16-2020,82,112,106,117
04-17-2020,81,80,76,84
04-18-2020,83,126,119,132
04-19-2020,80,40,38,42
04-20-2020,81,66,62,69
04-21-2020,85,240,228,252
04-22-2020,86,260,247,273
04-23-2020,84,196,186,205
04-24-2020,83,150,142,157
04-25-2020,83,128,121,134
04-26-2020,81,68,64,71
04-13-2020,80,36,34,37
04-14-2020,80,12,11,12
04-15-2020,80,24,22,25
04-16-2020,80,30,28,31
04-17-2020,82,108,102,113
04-18-2020,82,84,79,88
04-19-2020,82,112,106,117
04-20-2020,82,108,102,113
04-21-2020,83,160,152,168
04-22-2020,83,132,125,138
04-23-2020,81,48,45,50
04-24-2020,85,234,222,245
04-25-2020,83,140,133,147
04-26-2020,83,150,142,157
