date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,16,15,16
04-14-2020,80,10,9,10
04-15-2020,82,120,114,126
04-16-2020,82,140,133,147
04-17-2020,82,128,121,134
04-18-2020,80,18,17,18
04-19-2020,82,120,114,126
04-20-2020,80,22,20,23
04-21-2020,84,216,205,226
04-22-2020,84,234,222,245
04-23-2020,84,224,212,235
04-24-2020,81,60,57,63
04-25-2020,86,320,304,336
04-26-2020,85,272,258,285
04-13-2020,80,16,15,16
04-14-2020,81,54,51,56
04-15-2020,80,40,38,42
04-16-2020,80,30,28,31
04-17-2020,81,84,79,88
04-18-2020,82,112,106,117
04-19-2020,80,32,30,33
04-20-2020,81,90,85,94
04-21-2020,80,20,19,21
04-22-2020,83,176,167,184
04-23-2020,82,120,114,126
04-24-2020,81,52,49,54
04-25-2020,80,28,26,29
04-26-2020,83,150,142,157
