date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,16,15,16
04-14-2020,88,100,95,105
04-15-2020,85,60,57,63
04-16-2020,91,140,133,147
04-17-2020,81,16,15,16
04-18-2020,93,162,153,170
04-19-2020,81,20,19,21
04-20-2020,96,198,188,207
04-21-2020,88,96,91,100
04-22-2020,82,26,24,27
04-23-2020,94,168,159,176
04-24-2020,105,300,285,315
04-25-2020,104,288,273,302
04-26-2020,94,170,161,178
04-13-2020,81,16,15,16
04-14-2020,81,12,11,12
04-15-2020,86,72,68,75
04-16-2020,87,90,85,94
04-17-2020,89,108,102,113
04-18-2020,87,84,79,88
04-19-2020,88,96,91,100
04-20-2020,81,18,17,18
04-21-2020,95,180,171,189
04-22-2020,96,198,188,207
04-23-2020,96,192,182,201
04-24-2020,95,182,172,191
04-25-2020,99,224,212,235
04-26-2020,87,90,85,94
