date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,82,64,60,67
04-14-2020,82,70,66,73
04-15-2020,84,120,114,126
04-16-2020,82,84,79,88
04-17-2020,81,32,30,33
04-18-2020,84,144,136,151
04-19-2020,85,160,152,168
04-20-2020,85,176,167,184
04-21-2020,82,72,68,75
04-22-2020,84,130,123,136
04-23-2020,88,252,239,264
04-24-2020,86,180,171,189
04-25-2020,90,320,304,336
04-26-2020,82,68,64,71
04-13-2020,80,28,26,29
04-14-2020,81,30,28,31
04-15-2020,82,72,68,75
04-16-2020,82,70,66,73
04-17-2020,80,24,22,25
04-18-2020,84,140,133,147
04-19-2020,84,128,121,134
04-20-2020,82,72,68,75
04-21-2020,84,140,133,147
04-22-2020,80,22,20,23
04-23-2020,80,24,22,25
04-24-2020,84,130,123,136
04-25-2020,81,56,53,58
04-26-2020,81,30,28,31
