date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,16,15,16
04-14-2020,80,10,9,10
04-15-2020,80,48,45,50
04-16-2020,81,56,53,58
04-17-2020,80,16,15,16
04-18-2020,81,72,68,75
04-19-2020,82,140,133,147
04-20-2020,82,110,104,115
04-21-2020,84,216,205,226
04-22-2020,80,26,24,27
04-23-2020,82,112,106,117
04-24-2020,84,210,199,220
04-25-2020,80,32,30,33
04-26-2020,81,68,64,71
04-13-2020,80,40,38,42
04-14-2020,81,54,51,56
04-15-2020,80,8,7,8
04-16-2020,81,80,76,84
04-17-2020,81,84,79,88
04-18-2020,82,140,133,147
04-19-2020,80,48,45,50
04-20-2020,81,90,85,94
04-21-2020,82,140,133,147
04-22-2020,81,88,83,92
04-23-2020,83,168,159,176
04-24-2020,84,208,197,218
04-25-2020,80,28,26,29
04-26-2020,86,300,285,315
