date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,98,64,60,67
04-14-2020,106,90,85,94
04-15-2020,107,96,91,100
04-16-2020,116,126,119,132
04-17-2020,121,144,136,151
04-18-2020,106,90,85,94
04-19-2020,103,80,76,84
04-20-2020,105,88,83,92
04-21-2020,93,48,45,50
04-22-2020,95,52,49,54
04-23-2020,96,56,53,58
04-24-2020,97,60,57,63
04-25-2020,107,96,91,100
04-26-2020,89,34,32,35
04-13-2020,88,28,26,29
04-14-2020,81,6,5,6
04-15-2020,103,80,76,84
04-16-2020,94,50,47,52
04-17-2020,83,12,11,12
04-18-2020,88,28,26,29
04-19-2020,84,16,15,16
04-20-2020,100,72,68,75
04-21-2020,91,40,38,42
04-22-2020,99,66,62,69
04-23-2020,121,144,136,151
04-24-2020,102,78,74,81
04-25-2020,152,252,239,264
04-26-2020,158,270,256,283
