date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,16,15,16
04-14-2020,82,60,57,63
04-15-2020,85,120,114,126
04-16-2020,82,70,66,73
04-17-2020,84,112,106,117
04-18-2020,86,144,136,151
04-19-2020,85,120,114,126
04-20-2020,82,66,62,69
04-21-2020,85,120,114,126
04-22-2020,85,130,123,136
04-23-2020,84,112,106,117
04-24-2020,91,270,256,283
04-25-2020,82,64,60,67
04-26-2020,93,306,290,321
04-13-2020,80,16,15,16
04-14-2020,81,36,34,37
04-15-2020,83,72,68,75
04-16-2020,82,60,57,63
04-17-2020,83,84,79,88
04-18-2020,84,98,93,102
04-19-2020,82,64,60,67
04-20-2020,86,144,136,151
04-21-2020,84,100,95,105
04-22-2020,82,66,62,69
04-23-2020,82,48,45,50
04-24-2020,86,156,148,163
04-25-2020,88,196,186,205
04-26-2020,85,120,114,126
