date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,24,22,25
04-14-2020,86,100,95,105
04-15-2020,82,48,45,50
04-16-2020,86,98,93,102
04-17-2020,81,32,30,33
04-18-2020,88,144,136,151
04-19-2020,91,180,171,189
04-20-2020,89,154,146,161
04-21-2020,90,168,159,176
04-22-2020,92,208,197,218
04-23-2020,93,224,212,235
04-24-2020,89,150,142,157
04-25-2020,91,192,182,201
04-26-2020,88,136,129,142
04-13-2020,80,4,3,4
04-14-2020,82,48,45,50
04-15-2020,84,80,76,84
04-16-2020,83,50,47,52
04-17-2020,84,72,68,75
04-18-2020,82,42,39,44
04-19-2020,88,144,136,151
04-20-2020,85,90,85,94
04-21-2020,83,60,57,63
04-22-2020,89,154,146,161
04-23-2020,81,24,22,25
04-24-2020,89,156,148,163
04-25-2020,97,280,266,294
04-26-2020,85,90,85,94
