date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,80,76,84
04-14-2020,80,40,38,42
04-15-2020,80,72,68,75
04-16-2020,80,98,93,102
04-17-2020,80,16,15,16
04-18-2020,81,162,153,170
04-19-2020,81,160,152,168
04-20-2020,81,132,125,138
04-21-2020,81,192,182,201
04-22-2020,81,208,197,218
04-23-2020,82,252,239,264
04-24-2020,82,270,256,283
04-25-2020,81,192,182,201
04-26-2020,81,238,226,249
04-13-2020,80,32,30,33
04-14-2020,80,30,28,31
04-15-2020,80,8,7,8
04-16-2020,80,100,95,105
04-17-2020,80,60,57,63
04-18-2020,80,56,53,58
04-19-2020,80,32,30,33
04-20-2020,80,54,51,56
04-21-2020,80,40,38,42
04-22-2020,81,198,188,207
04-23-2020,80,120,114,126
04-24-2020,80,26,24,27
04-25-2020,80,112,106,117
04-26-2020,81,150,142,157
