date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,82,64,60,67
04-14-2020,82,60,57,63
04-15-2020,83,84,79,88
04-16-2020,84,126,119,132
04-17-2020,81,32,30,33
04-18-2020,85,162,153,170
04-19-2020,87,200,190,210
04-20-2020,88,220,209,231
04-21-2020,81,48,45,50
04-22-2020,89,260,247,273
04-23-2020,83,84,79,88
04-24-2020,85,150,142,157
04-25-2020,84,128,121,134
04-26-2020,86,170,161,178
04-13-2020,80,24,22,25
04-14-2020,80,24,22,25
04-15-2020,82,56,53,58
04-16-2020,80,10,9,10
04-17-2020,82,72,68,75
04-18-2020,84,126,119,132
04-19-2020,82,64,60,67
04-20-2020,83,108,102,113
04-21-2020,84,120,114,126
04-22-2020,80,22,20,23
04-23-2020,87,192,182,201
04-24-2020,87,208,197,218
04-25-2020,85,140,133,147
04-26-2020,84,120,114,126
