date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,56,53,58
04-14-2020,81,50,47,52
04-15-2020,81,60,57,63
04-16-2020,82,84,79,88
04-17-2020,84,160,152,168
04-18-2020,80,18,17,18
04-19-2020,86,200,190,210
04-20-2020,80,22,20,23
04-21-2020,82,96,91,100
04-22-2020,82,78,74,81
04-23-2020,81,56,53,58
04-24-2020,80,30,28,31
04-25-2020,80,32,30,33
04-26-2020,89,306,290,321
04-13-2020,80,24,22,25
04-14-2020,81,60,57,63
04-15-2020,82,80,76,84
04-16-2020,83,100,95,105
04-17-2020,83,108,102,113
04-18-2020,83,126,119,132
04-19-2020,80,16,15,16
04-20-2020,85,180,171,189
04-21-2020,82,80,76,84
04-22-2020,86,198,188,207
04-23-2020,81,48,45,50
04-24-2020,83,104,98,109
04-25-2020,86,224,212,235
04-26-2020,87,240,228,252
