date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,16,15,16
04-14-2020,80,50,47,52
04-15-2020,80,36,34,37
04-16-2020,81,126,119,132
04-17-2020,81,64,60,67
04-18-2020,81,90,85,94
04-19-2020,83,200,190,210
04-20-2020,82,176,167,184
04-21-2020,83,240,228,252
04-22-2020,81,78,74,81
04-23-2020,82,168,159,176
04-24-2020,83,240,228,252
04-25-2020,82,160,152,168
04-26-2020,81,68,64,71
04-13-2020,80,16,15,16
04-14-2020,80,42,39,44
04-15-2020,80,56,53,58
04-16-2020,80,50,47,52
04-17-2020,80,36,34,37
04-18-2020,80,56,53,58
04-19-2020,81,112,106,117
04-20-2020,81,108,102,113
04-21-2020,82,180,171,189
04-22-2020,80,44,41,46
04-23-2020,81,96,91,100
04-24-2020,82,156,148,163
04-25-2020,84,280,266,294
04-26-2020,84,270,256,283
