date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,93,64,60,67
04-14-2020,101,100,95,105
04-15-2020,92,60,57,63
04-16-2020,94,70,66,73
04-17-2020,96,80,76,84
04-18-2020,106,126,119,132
04-19-2020,101,100,95,105
04-20-2020,103,110,104,115
04-21-2020,105,120,114,126
04-22-2020,123,208,197,218
04-23-2020,97,84,79,88
04-24-2020,136,270,256,283
04-25-2020,106,128,121,134
04-26-2020,151,340,323,357
04-13-2020,84,20,19,21
04-14-2020,83,18,17,18
04-15-2020,93,64,60,67
04-16-2020,90,50,47,52
04-17-2020,97,84,79,88
04-18-2020,82,14,13,14
04-19-2020,83,16,15,16
04-20-2020,117,180,171,189
04-21-2020,105,120,114,126
04-22-2020,121,198,188,207
04-23-2020,125,216,205,226
04-24-2020,101,104,98,109
04-25-2020,97,84,79,88
04-26-2020,143,300,285,315
