date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,40,38,42
04-14-2020,82,50,47,52
04-15-2020,81,24,22,25
04-16-2020,85,112,106,117
04-17-2020,82,48,45,50
04-18-2020,84,108,102,113
04-19-2020,80,20,19,21
04-20-2020,88,198,188,207
04-21-2020,89,216,205,226
04-22-2020,90,234,222,245
04-23-2020,87,168,159,176
04-24-2020,90,240,228,252
04-25-2020,88,192,182,201
04-26-2020,92,272,258,285
04-13-2020,81,32,30,33
04-14-2020,82,54,51,56
04-15-2020,83,80,76,84
04-16-2020,82,60,57,63
04-17-2020,81,24,22,25
04-18-2020,86,140,133,147
04-19-2020,85,112,106,117
04-20-2020,85,126,119,132
04-21-2020,84,100,95,105
04-22-2020,86,154,146,161
04-23-2020,84,96,91,100
04-24-2020,90,234,222,245
04-25-2020,82,56,53,58
04-26-2020,81,30,28,31
