date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,88,64,60,67
04-14-2020,89,70,66,73
04-15-2020,92,96,91,100
04-16-2020,81,14,13,14
04-17-2020,82,16,15,16
04-18-2020,82,18,17,18
04-19-2020,101,160,152,168
04-20-2020,100,154,146,161
04-21-2020,112,240,228,252
04-22-2020,94,104,98,109
04-23-2020,110,224,212,235
04-24-2020,84,30,28,31
04-25-2020,88,64,60,67
04-26-2020,107,204,193,214
04-13-2020,83,24,22,25
04-14-2020,84,30,28,31
04-15-2020,83,24,22,25
04-16-2020,88,60,57,63
04-17-2020,84,36,34,37
04-18-2020,93,98,93,102
04-19-2020,84,32,30,33
04-20-2020,97,126,119,132
04-21-2020,98,140,133,147
04-22-2020,97,132,125,138
04-23-2020,99,144,136,151
04-24-2020,83,26,24,27
04-25-2020,98,140,133,147
04-26-2020,116,270,256,283
