date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,81,48,45,50
04-14-2020,82,80,76,84
04-15-2020,80,24,22,25
04-16-2020,81,70,66,73
04-17-2020,81,64,60,67
04-18-2020,84,180,171,189
04-19-2020,81,40,38,42
04-20-2020,81,44,41,46
04-21-2020,83,120,114,126
04-22-2020,84,182,172,191
04-23-2020,83,140,133,147
04-24-2020,81,60,57,63
04-25-2020,83,128,121,134
04-26-2020,87,306,290,321
04-13-2020,80,32,30,33
04-14-2020,81,60,57,63
04-15-2020,81,72,68,75
04-16-2020,82,100,95,105
04-17-2020,81,60,57,63
04-18-2020,81,70,66,73
04-19-2020,82,80,76,84
04-20-2020,83,126,119,132
04-21-2020,84,160,152,168
04-22-2020,85,198,188,207
04-23-2020,81,48,45,50
04-24-2020,85,208,197,218
04-25-2020,82,84,79,88
04-26-2020,86,240,228,252
