date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,80,16,15,16
04-14-2020,81,60,57,63
04-15-2020,81,72,68,75
04-16-2020,80,14,13,14
04-17-2020,83,160,152,168
04-18-2020,80,18,17,18
04-19-2020,83,200,190,210
04-20-2020,81,66,62,69
04-21-2020,84,216,205,226
04-22-2020,83,208,197,218
04-23-2020,82,140,133,147
04-24-2020,84,210,199,220
04-25-2020,82,128,121,134
04-26-2020,83,204,193,214
04-13-2020,80,16,15,16
04-14-2020,81,60,57,63
04-15-2020,80,24,22,25
04-16-2020,80,10,9,10
04-17-2020,80,24,22,25
04-18-2020,81,98,93,102
04-19-2020,83,160,152,168
04-20-2020,80,18,17,18
04-21-2020,83,160,152,168
04-22-2020,80,22,20,23
04-23-2020,82,144,136,151
04-24-2020,83,208,197,218
04-25-2020,82,140,133,147
04-26-2020,82,120,114,126
