date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,84,40,38,42
04-14-2020,84,40,38,42
04-15-2020,85,48,45,50
04-16-2020,87,70,66,73
04-17-2020,95,144,136,151
04-18-2020,87,72,68,75
04-19-2020,86,60,57,63
04-20-2020,96,154,146,161
04-21-2020,90,96,91,100
04-22-2020,102,208,197,218
04-23-2020,104,224,212,235
04-24-2020,99,180,171,189
04-25-2020,90,96,91,100
04-26-2020,83,34,32,35
04-13-2020,82,24,22,25
04-14-2020,81,12,11,12
04-15-2020,82,24,22,25
04-16-2020,85,50,47,52
04-17-2020,82,24,22,25
04-18-2020,84,42,39,44
04-19-2020,86,64,60,67
04-20-2020,83,36,34,37
04-21-2020,82,20,19,21
04-22-2020,101,198,188,207
04-23-2020,85,48,45,50
04-24-2020,82,26,24,27
04-25-2020,98,168,159,176
04-26-2020,92,120,114,126
